中类名称,否,是
一次性用品,727.3,70.9
不锈钢餐具,37.0,0.0
个人卫生用品,47.199999999999996,0.0
中式熟菜,477.4000000000001,0.0
乳饮料,1974.4000000000003,673.4999999999999
五谷杂粮,9886.806759999976,2935.720000000002
保养用品,1753.4000000000015,77.3
保温容器,28.0,117.9
保鲜用品,429.9,26.700000000000003
其他国产酒,586.0,0.0
其它加工,450.2859999999999,0.0
冰品,73.5,0.0
冰鲜水产,1528.0362,0.0
冲调食品,3348.4000000000015,2481.400000000001
冲饮品,640.8999999999995,46.40000000000001
冷冻包子馒头,369.30000000000007,75.60000000000002
冷冻水产,816.73762,0.0
冷冻水饺,1596.3,263.0
冷冻汤圆,548.1999999999999,184.1000000000001
冷冻火锅类,1083.8203999999996,547.4899999999999
冷冻点心,856.1,266.90000000000003
冷冻蔬菜肉品,125.3,17.9
冷冻馄饨,126.19999999999999,0.0
冷藏乳品,5778.899999999991,5524.699999999983
冷藏奶油芝士,456.8000000000001,0.0
冷藏料理,955.2999999999997,1785.2
冷藏肉制品,2849.800000000006,844.799999999999
冷藏豆制类,56.70000000000001,5.8
净水,755.1999999999995,2.5
凉拌熟食,2235.6063999999983,0.0
刮胡用品,47.0,19.9
剃须护理用品,251.10000000000002,29.9
办公配件,29.3,0.0
加工水产,128.25,0.0
加工肉类,257.8452,0.0
加工豆类,2424.84452,0.0
包装材料,10.299999999999999,0.0
化妆品,134.3,0.0
南北干货,3712.7828000000054,878.4899999999991
卤制熟食,1953.5599999999997,0.0
卫浴用品,357.8,23.9
卫生巾,3301.400000000009,1304.5000000000016
即食制品,118.6,0.0
即食熟制品,5147.3565999999955,662.0899999999996
厨房整理,233.0,9.8
厨房清洁,474.6,37.7
口腔卫生用品,3974.000000000015,761.3999999999992
口香糖,2148.200000000007,117.79999999999998
咖啡,794.7999999999994,171.3
啤酒,2170.000000000001,486.7999999999998
国产白酒,11834.99999999999,8816.5
地垫类,15.0,154.80000000000004
塑料餐具,224.9,19.9
外送面包糕点,671.7251999999999,925.399999999999
女上装,0.0,243.3
女下装,0.0,179.5
女内衣裤,732.3,60.6
女孩玩具,62.0,49.0
女袜,368.29999999999995,62.29999999999999
女鞋,0.0,34.8
奶粉,1556.9000000000005,185.8
娱乐玩具,280.59999999999997,0.0
婴儿系列用品,276.5,0.0
婴幼儿用品,704.3999999999996,14.8
季节性电器,76.0,25.0
学生用品,229.89999999999998,0.0
室内清洁剂,73.9,39.6
家事收纳,206.0,0.0
密胺餐具,48.5,0.0
小型健身器材,6.7,0.0
工具,123.0,0.0
巧克力,4134.165200000003,566.42
常温乳品,13895.200000000004,24896.49999999997
常温肉制品,1694.7,2334.000000000007
干货水产,417.98400000000015,0.0
床品单/套件,0.0,302.09999999999997
微波食品,20.6,0.0
打扫用品,1030.6999999999998,186.00000000000003
拖鞋,272.90000000000003,186.10000000000002
文胸,58.0,0.0
料理切具,544.5,55.3
无糖食品,3793.592,228.9
时装包袋,0.0,0.0
服饰饰品,101.9,74.8
本类,103.39999999999998,0.0
杀虫用品,151.0,0.0
枕/靠/坐垫,70.0,47.5
果冻,1064.5759999999982,88.1
果汁饮料,3788.100000000003,556.8999999999999
桌上用品,109.5,27.700000000000003
档案用品,34.900000000000006,0.0
桶杯装速食面,603.1999999999998,95.69999999999999
毛巾,389.99999999999994,63.400000000000006
毯子,109.0,287.59999999999997
水壶,129.0,0.0
水果,45352.63446000007,0.0
汽车用品,8.0,0.0
洗护发用品,4015.5000000000086,856.6999999999998
洗浴用品,1164.4999999999998,156.00000000000003
洗衣用品,2668.500000000007,2668.2000000000057
浴厕厨清洁剂,1369.2000000000014,364.49999999999983
浴巾/袍,50.0,0.0
液体调料,5563.299999999991,1457.5999999999995
滋补营养品,1602.6,372.0
灯具光源,189.0,0.0
炒货,6015.801199999988,2834.300000000005
炒锅,229.0,0.0
煮锅,49.0,0.0
煮食面/粉,2274.5112000000026,264.1200000000003
牛肉,1255.7199999999998,0.0
猪肉,19779.08559999997,0.0
现制中式糕点,0.602,0.0
现制中式面点,1275.364000000001,0.0
现制西式糕点,110.304,0.0
玻璃器皿,167.0,7.8
球类配件,58.6,18.9
生活电器,69.0,0.0
电器配件,164.4,0.0
电池配件,184.6,0.0
男内衣裤,693.7,177.60000000000002
男孩玩具,87.7,0.0
男袜,344.29999999999995,33.6
男鞋,0.0,34.8
益智玩具,149.4,0.0
盐/糖,2463.500000000002,50.4
碳酸饮料,778.999999999999,87.6
童内衣裤,145.3,0.0
童袜,28.0,7.9
童装,0.0,49.9
笔类,325.2,2.9
粘合用品,211.0,27.6
糕点,5797.063999999994,7663.3299999999845
糖果,4343.188400000002,680.8199999999997
纯果汁,459.40000000000003,510.19999999999953
纸制品,2037.700000000007,8397.599999999913
纸尿裤,1291.6000000000004,0.0
罐头,3550.800000000005,492.8999999999998
美术用品,331.6000000000001,12.0
肉禽原料,95.48000000000002,0.0
胶水胶带,92.0,0.0
腌腊制品,261.5272,0.0
膨化点心,5855.1564,4566.959999999997
节庆饰品,21.0,75.4
芳香防霉剂,127.20000000000003,7.9
茶叶,371.7999999999999,0.0
茶饮料,202.30000000000004,46.099999999999994
葡萄/果酒,2200.9000000000015,153.0
蔬菜,34765.10711999981,0.0
蛋类,13281.298479999972,131.8
蜂蜜/面包酱,1419.2000000000003,979.1999999999998
