顾客编号,1月消费总额,2月消费总额,3月消费总额,4月消费总额,1月消费天数,2月消费天数,3月消费天数,4月消费天数
0,23.04988,0.0,0.0,13.5954,4,0,0,1
1,12.29728,30.299999999999997,0.0,0.0,4,3,0,0
2,48.700720000000004,29.99764,0.0,0.0,12,10,0,0
3,60.28624,360.96211999999997,67.38581999999998,49.28152,9,17,16,10
4,27.90264,0.0,0.0,154.9276,4,0,0,14
5,57.599599999999995,0.0,33.5,48.34,7,0,4,4
6,21.317,65.6712,11.5,49.14716,3,8,1,9
7,138.8672,0.0,61.49088,52.06912,6,0,8,11
8,190.48184,0.0,111.85980000000002,74.72720000000001,12,0,11,5
9,80.4,0.0,0.0,0.0,9,0,0,0
10,222.20832000000001,0.0,117.51012,0.0,16,0,11,0
11,50.29574000000001,0.0,0.0,0.0,9,0,0,0
12,679.0368599999999,529.81306,388.57795999999996,236.83367999999996,77,30,47,25
13,158.29459999999997,9.7,160.71168000000003,314.33396,16,1,18,33
14,335.05656000000005,0.0,0.0,0.0,16,0,0,0
15,313.88069999999993,0.0,0.0,0.0,17,0,0,0
16,139.98604000000003,246.10000000000002,0.0,0.0,11,8,0,0
17,238.8795,284.64936,44.84555999999999,52.800399999999996,48,27,9,11
18,32.44624,0.0,0.0,0.0,4,0,0,0
19,223.25816,0.0,0.0,42.900000000000006,19,0,0,6
20,117.08912000000002,122.24351999999999,24.20872,130.91340000000002,22,20,4,13
21,74.6464,111.1,47.75618000000001,13.877559999999997,15,3,15,5
22,93.792,0.0,0.0,0.0,7,0,0,0
23,16.2,0.0,0.0,0.0,2,0,0,0
24,178.12823999999995,142.79956,348.21541999999994,177.82904000000005,41,30,66,22
25,38.50748,0.0,0.0,0.0,2,0,0,0
26,184.39643999999998,59.7,0.0,0.0,18,3,0,0
27,81.64472,0.0,0.0,0.0,7,0,0,0
28,13.9,0.0,0.0,0.0,2,0,0,0
29,20.5,0.0,0.0,0.0,3,0,0,0
30,53.01584,0.0,0.0,0.0,3,0,0,0
31,173.08552000000003,59.50416,176.36088,193.63688,36,11,45,22
32,413.9646999999998,383.9491200000001,173.68400000000003,202.311,52,43,32,34
33,219.7,0.0,0.0,0.0,9,0,0,0
34,217.60888000000003,194.31198,327.4234399999999,302.01096,30,37,33,28
35,80.92415999999999,0.0,0.0,0.0,12,0,0,0
36,42.7572,0.0,0.0,144.10000000000002,4,0,0,9
37,111.48956000000001,283.91084,0.0,29.02,19,30,0,4
38,240.06215999999995,145.35372,0.0,94.67251999999999,22,13,0,14
39,155.79756,45.36736,245.97372000000007,69.17660000000001,29,10,31,12
40,32.65,303.85184000000004,0.0,0.0,6,14,0,0
41,38.3348,40.128,0.0,0.0,9,1,0,0
42,27.643520000000002,0.0,0.0,96.81562000000002,4,0,0,12
43,55.8,48.8298,0.0,113.2,5,7,0,5
44,100.84680000000003,59.88164,27.761759999999995,0.0,27,7,8,0
45,12.494800000000001,0.0,0.0,0.0,5,0,0,0
46,95.27434000000002,12.46424,60.635279999999995,88.96275999999997,9,4,13,19
47,554.7212399999999,39.29488,468.68713999999983,327.03559999999993,90,7,61,34
48,3.42536,0.0,17.743199999999998,0.0,3,0,5,0
49,254.30920000000003,0.0,206.80140000000003,146.85844,38,0,17,17
50,51.8,17.5,0.0,24.600579999999997,4,2,0,3
51,554.2346200000002,128.20000000000002,73.58784000000001,184.69564,124,32,19,38
52,308.6323,2032.2988400000015,381.6987799999999,891.1128399999997,38,141,51,62
53,35.436,0.0,0.0,0.0,2,0,0,0
54,54.286,0.0,0.0,0.0,3,0,0,0
55,99.83207999999999,0.0,28.78456,139.094,8,0,6,17
56,105.00504000000001,18.3,214.55988,26.273600000000002,13,2,10,2
57,61.3,74.63468,25.44504,33.3,6,12,3,5
58,126.51411999999999,0.0,0.0,118.97198,14,0,0,18
59,13.836480000000002,0.0,0.0,0.0,4,0,0,0
60,45.73154,31.6,0.0,124.41264000000001,7,7,0,17
61,76.98384,196.89412000000002,67.26035999999999,290.18120000000005,23,27,20,47
62,296.12292,0.0,0.0,102.34296000000002,17,0,0,14
63,35.07858,0.0,0.0,0.0,7,0,0,0
64,233.54968000000005,72.64828,104.01240000000001,45.51012,30,12,8,8
65,23.15072,0.0,32.1,0.0,6,0,3,0
66,141.3774,0.0,0.0,0.0,9,0,0,0
67,6.8,0.0,0.0,127.9,1,0,0,12
