Index_x,CardNo,Sex,Major,AccessCardNo,Index_y,Date,Address,Access,Describe
41,180041,女,18国际金融,19748650,1346249,2019-04-02 09:46:00,青鸾苑[出门],1,允许通过
41,180041,女,18国际金融,19748650,1346258,2019-04-02 10:31:00,青鸾苑[进门],1,允许通过
41,180041,女,18国际金融,19748650,1346260,2019-04-02 00:00:00,青鸾苑[出门],1,允许通过
83,180083,女,18会计,21159002,1345061,2019-04-29 20:34:00,飞凤轩[进门],0,禁止通过-没有权限
101,180101,女,18会计,18840522,1337058,2019-04-07 21:09:00,飞凤轩[进门],1,允许通过
101,180101,女,18会计,18840522,1344564,2019-04-29 14:52:00,飞凤轩[出门],1,允许通过
101,180101,女,18会计,18840522,1344850,2019-04-29 18:39:00,飞凤轩[进门],1,允许通过
101,180101,女,18会计,18840522,1356200,2019-04-14 21:45:00,飞凤轩[进门],1,允许通过
127,180127,女,18会计,21947050,1348536,2019-04-09 13:21:00,飞凤轩[进门],0,禁止通过-没有权限
127,180127,女,18会计,21947050,1348538,2019-04-09 13:21:00,飞凤轩[进门],0,禁止通过-没有权限
127,180127,女,18会计,21947050,1348537,2019-04-09 13:21:00,飞凤轩[进门],0,禁止通过-没有权限
143,180143,女,18会计,19841146,1332806,2019-04-05 18:01:00,第六教学楼[进门],1,允许通过
143,180143,女,18会计,19841146,1333335,2019-04-06 17:28:00,第六教学楼[进门],1,允许通过
143,180143,女,18会计,19841146,1333678,2019-04-07 11:12:00,第六教学楼[进门],1,允许通过
143,180143,女,18会计,19841146,1334342,2019-04-03 00:00:00,第六教学楼[出门],1,允许通过
143,180143,女,18会计,19841146,1357867,2019-04-17 09:01:00,第六教学楼[进门],1,允许通过
143,180143,女,18会计,19841146,1367531,2019-04-23 21:37:00,第六教学楼[进门],1,允许通过
154,180154,女,18会计,709322,1332168,2019-04-01 22:27:00,第六教学楼[出门],1,允许通过
154,180154,女,18会计,709322,1333829,2019-04-07 13:51:00,第六教学楼[出门],1,允许通过
154,180154,女,18会计,709322,1333877,2019-04-07 15:52:00,第六教学楼[进门],1,允许通过
154,180154,女,18会计,709322,1334052,2019-04-07 21:15:00,第六教学楼[出门],1,允许通过
154,180154,女,18会计,709322,1334061,2019-04-07 21:24:00,第六教学楼[进门],1,允许通过
154,180154,女,18会计,709322,1338860,2019-04-03 00:00:00,第六教学楼[进门],1,允许通过
154,180154,女,18会计,709322,1340401,2019-04-04 21:13:00,第六教学楼[进门],1,允许通过
154,180154,女,18会计,709322,1341510,2019-04-02 20:27:00,第六教学楼[出门],1,允许通过
154,180154,女,18会计,709322,1341552,2019-04-02 21:14:00,第六教学楼[进门],1,允许通过
154,180154,女,18会计,709322,1341738,2019-04-29 06:48:00,第六教学楼[进门],1,允许通过
154,180154,女,18会计,709322,1341740,2019-04-29 06:52:00,第六教学楼[出门],1,允许通过
154,180154,女,18会计,709322,1342174,2019-04-29 15:20:00,第六教学楼[进门],1,允许通过
154,180154,女,18会计,709322,1342591,2019-04-29 22:18:00,第六教学楼[出门],1,允许通过
154,180154,女,18会计,709322,1342608,2019-04-29 22:28:00,第六教学楼[进门],1,允许通过
154,180154,女,18会计,709322,1342940,2019-04-30 12:13:00,第六教学楼[出门],1,允许通过
154,180154,女,18会计,709322,1342952,2019-04-30 12:20:00,第六教学楼[进门],1,允许通过
154,180154,女,18会计,709322,1343364,2019-04-30 19:18:00,第六教学楼[进门],1,允许通过
154,180154,女,18会计,709322,1343592,2019-04-30 22:58:00,第六教学楼[出门],1,允许通过
154,180154,女,18会计,709322,1349748,2019-04-10 19:19:00,第六教学楼[出门],1,允许通过
154,180154,女,18会计,709322,1353587,2019-04-14 00:00:00,第六教学楼[出门],1,允许通过
